"","author","title","words","kind","total","appearance"
"309","Eliot, George","Daniel Deronda","Diana","person",3.5,2
"310","Eliot, George","Daniel Deronda","Diplow","location",3.85135135135135,74
"311","Eliot, George","Daniel Deronda","Don Carlos","person",8,1
"312","Eliot, George","Daniel Deronda","Earl","person",2.58163265306122,98
"313","Eliot, George","Daniel Deronda","earth","location",4.23076923076923,39
"314","Eliot, George","Daniel Deronda","Easter","person",9.2,5
"315","Eliot, George","Daniel Deronda","Eden","person",2.14285714285714,7
"316","Eliot, George","Daniel Deronda","Edgar Raymond","person",3,1
"317","Eliot, George","Daniel Deronda","Egypt","location",1.66666666666667,3
"318","Eliot, George","Daniel Deronda","Elle","person",4.46666666666667,75
"319","Eliot, George","Daniel Deronda","Ellen","person",7.33333333333333,30
"320","Eliot, George","Daniel Deronda","England","location",7.69230769230769,26
"321","Eliot, George","Daniel Deronda","Europe","location",1.22222222222222,9
"322","Eliot, George","Daniel Deronda","Ezra","person",1.03,100
"323","Eliot, George","Daniel Deronda","Ezra Cohen","person",2.30769230769231,13
"324","Eliot, George","Daniel Deronda","Flora Hollis","person",3,2
"325","Eliot, George","Daniel Deronda","Florence","location",-2,1
"326","Eliot, George","Daniel Deronda","Florentine","person",4,1
"327","Eliot, George","Daniel Deronda","Fox","location",-7,2
"328","Eliot, George","Daniel Deronda","Francis","person",6,3
"329","Eliot, George","Daniel Deronda","Fraser","person",6,6
"330","Eliot, George","Daniel Deronda","Frate","location",3,1
"331","Eliot, George","Daniel Deronda","French","location",2.64285714285714,14
"332","Eliot, George","Daniel Deronda","Fresh","location",3.19444444444444,36
"333","Eliot, George","Daniel Deronda","Gadsmere","location",4.9375,16
"334","Eliot, George","Daniel Deronda","Gadsmerefeeling","person",4,1
"335","Eliot, George","Daniel Deronda","Genoa","location",2.77777777777778,27
"336","Eliot, George","Daniel Deronda","Gentile","location",4.17647058823529,17
"337","Eliot, George","Daniel Deronda","George","person",-5,4
"338","Eliot, George","Daniel Deronda","Germany","location",0.5,4
"339","Eliot, George","Daniel Deronda","Gil","person",1,5
"340","Eliot, George","Daniel Deronda","Grant","person",4.33333333333333,12
"341","Eliot, George","Daniel Deronda","Gray","person",0.53125,32
"342","Eliot, George","Daniel Deronda","Greece","location",12.6666666666667,3
"343","Eliot, George","Daniel Deronda","Grosvenor Place","location",12,1
"344","Eliot, George","Daniel Deronda","Grosvenor Square","location",4.5,4
"345","Eliot, George","Daniel Deronda","Guinea","location",1.5,2
"346","Eliot, George","Daniel Deronda","Gwendolen Harleth Grandcourt","person",1.25145067698259,1034
"347","Eliot, George","Daniel Deronda","Hades","location",8,3
"348","Eliot, George","Daniel Deronda","Hamburg","location",11,2
"349","Eliot, George","Daniel Deronda","Harriet","person",27,1
"350","Eliot, George","Daniel Deronda","Harry Brendall","person",-2,2
"351","Eliot, George","Daniel Deronda","Henleigh","person",5.92857142857143,14
"352","Eliot, George","Daniel Deronda","Henleigh Mallinger Grandcourt","person",2.44444444444444,99
"353","Eliot, George","Daniel Deronda","Henry","person",-0.333333333333333,3
